,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
253,22016,1610612756,PHX,Phoenix Suns,0021600988,2017-03-12,PHX vs. POR,L,241,101,41,93,0.441,5,14,0.357,14,20,0.7,6,35,41,20,5,3,9,21,-9.0
254,22016,1610612756,PHX,Phoenix Suns,0021600982,2017-03-11,PHX @ DAL,W,240,100,38,83,0.458,6,21,0.286,18,20,0.9,5,35,40,18,5,7,11,24,2.0
255,22016,1610612756,PHX,Phoenix Suns,0021600964,2017-03-09,PHX vs. LAL,L,239,110,42,91,0.462,6,19,0.316,20,25,0.8,18,36,54,20,7,10,19,24,-12.0
256,22016,1610612756,PHX,Phoenix Suns,0021600948,2017-03-07,PHX vs. WAS,L,239,127,44,88,0.5,13,27,0.481,26,33,0.788,9,40,49,23,5,8,19,32,-4.0
257,22016,1610612756,PHX,Phoenix Suns,0021600929,2017-03-05,PHX vs. BOS,W,239,109,42,94,0.447,4,20,0.2,21,26,0.808,10,40,50,16,7,10,11,29,3.0
258,22016,1610612756,PHX,Phoenix Suns,0021600916,2017-03-03,PHX vs. OKC,W,240,118,44,89,0.494,5,21,0.238,25,31,0.806,9,36,45,28,10,7,17,26,7.0
259,22016,1610612756,PHX,Phoenix Suns,0021600907,2017-03-02,PHX vs. CHA,W,240,120,46,77,0.597,7,19,0.368,21,25,0.84,4,38,42,30,8,7,18,23,17.0
260,22016,1610612756,PHX,Phoenix Suns,0021600892,2017-02-28,PHX @ MEM,L,240,112,43,83,0.518,7,21,0.333,19,24,0.792,8,24,32,22,6,5,12,25,-18.0
261,22016,1610612756,PHX,Phoenix Suns,0021600875,2017-02-26,PHX @ MIL,L,239,96,40,83,0.482,5,14,0.357,11,16,0.688,12,30,42,26,12,5,20,22,-4.0
262,22016,1610612756,PHX,Phoenix Suns,0021600859,2017-02-24,PHX @ CHI,L,265,121,49,93,0.527,8,24,0.333,15,25,0.6,8,35,43,27,8,6,18,23,-7.0
263,22016,1610612756,PHX,Phoenix Suns,0021600844,2017-02-15,PHX vs. LAL,W,242,137,49,88,0.557,10,24,0.417,29,34,0.853,12,47,59,32,7,10,15,20,36.0
264,22016,1610612756,PHX,Phoenix Suns,0021600829,2017-02-13,PHX vs. NOP,L,238,108,40,93,0.43,8,23,0.348,20,24,0.833,13,30,43,14,7,3,18,25,-2.0
265,22016,1610612756,PHX,Phoenix Suns,0021600812,2017-02-11,PHX @ HOU,L,241,102,37,94,0.394,8,22,0.364,20,26,0.769,12,30,42,20,8,4,19,28,-31.0
266,22016,1610612756,PHX,Phoenix Suns,0021600807,2017-02-10,PHX vs. CHI,W,241,115,48,95,0.505,8,19,0.421,11,13,0.846,13,30,43,25,4,8,8,18,18.0
267,22016,1610612756,PHX,Phoenix Suns,0021600788,2017-02-08,PHX @ MEM,L,238,91,29,87,0.333,5,23,0.217,28,34,0.824,18,28,46,13,12,5,15,27,-19.0
268,22016,1610612756,PHX,Phoenix Suns,0021600774,2017-02-06,PHX @ NOP,L,240,106,40,93,0.43,5,27,0.185,21,25,0.84,9,40,49,26,7,10,16,23,-5.0
269,22016,1610612756,PHX,Phoenix Suns,0021600761,2017-02-04,PHX vs. MIL,L,240,112,38,91,0.418,11,28,0.393,25,30,0.833,14,26,40,22,9,3,16,28,-25.0
