,GAME_ID,MATCHUP,HOME_TEAM,VISITOR_TEAM
18833,0029100939,DEN vs. NYK,1610612743,1610612752
18834,0029100922,DEN @ MIN,1610612750,1610612743
18835,0029100905,DEN vs. LAC,1610612743,1610612746
18836,0029100896,DEN @ UTH,1610612762,1610612743
18837,0029100882,DEN vs. SAC,1610612743,1610612758
18838,0029100849,DEN @ MIA,1610612748,1610612743
18839,0029100834,DEN @ ORL,1610612753,1610612743
18840,0029100818,DEN vs. UTH,1610612743,1610612762
18841,0029100802,DEN vs. DET,1610612743,1610612765
18842,0029100791,DEN vs. POR,1610612743,1610612757
